allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	bolting	mortality	growthstage	vigor	leaf_rust	rust_responce	stem_rust	leaf_blotch	viral_symptoms	height_JUL_2020	no_bolting_JUL_2020	mortality_JUL_2020	grwth_stg_JUL_2020	vigor_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG_2020	bolting_SEPT_2019	mortality_SEPT_2019	growth_stage_SEPT_2019	vigor_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019	insertrows	AVG_Lig_2020	AVG_Disk_Dia_2020	Year	vigor_JUL_2020	original_region1	original_region
55	NA	west	W4_SIL	W4	SIL	5	12	14	S	1	0	1.8	7	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1.8	7	0.01	2	0	0	0	0	0	NA	NA	NA	NA	2019	NA	W	West
56	NA	west	C1_SIL	C1	SIL	5	10	14	S	7	2	6	4	4	2	25	1	3	110	7	2	6	4	NA	1.483333333	25	6.2	9.666666667	18.33333333	2.666666667	35	3	NA	26	6.35	9	4	0.841666667	2.333333333	NA	33.33333333	0	75	NA	4	2	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.5	6.275	2020	3	C	Central
56	NA	west	C1_SIL	C1	SIL	5	10	14	S	0	2	1.9	9	0.5	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	1.9	9	0.5	2	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
57	NA	west	E2_SIL	E2	SIL	5	8	14	S	9	0	4.7	6	0.833333333	2	10.66666667	2.333333333	3	120	9	0	4.7	6	NA	1.8	14	6.2	14.66666667	1	2	7.333333333	3	NA	15	6.9	11.25	4.5	0.703333333	16.66666667	NA	6.666666667	0	30	NA	0.833333333	2	10.66666667	2.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5	6.55	2020	6	E	East
57	NA	west	E2_SIL	E2	SIL	5	8	14	S	5	0	2.7	10	0.02	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	2.7	10	0.02	2	0	0	0	0.05	0	NA	NA	NA	NA	2019	NA	E	East
58	NA	west	E3_SIL	E3	SIL	5	2	15	N	9	0	5	5	0.333333333	1.333333333	0.333333333	10	3.333333333	125	9	0	5	5	NA	1.783333333	14.5	6.85	14	0.2	1.333333333	0.033333333	3.333333333	NA	15	5.3	10.16666667	4.666666667	0.69	19.66666667	NA	15	0	30	NA	0.333333333	1.333333333	0.333333333	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.75	6.075	2020	6	E	East
58	NA	west	E3_SIL	E3	SIL	5	2	15	N	3	0	1.9	10	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	1.9	10	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
59	NA	west	E1_SIL	E1	SIL	5	7	15	N	9	0	5.9	6	0.333333333	1.333333333	0.666666667	16.66666667	5	130	9	0	5.9	6	NA	2.2	19.66666667	6.766666667	13.33333333	0.333333333	1.333333333	0.333333333	5	NA	NA	NA	10	4.5	0.632333333	25.33333333	NA	3.333333333	0	6.666666667	NA	0.333333333	1.333333333	0.666666667	16.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.66666667	6.766666667	2020	6	E	East
59	NA	west	E1_SIL	E1	SIL	5	7	15	N	7	0	3.7	10	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	3.7	10	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
60	NA	west	W2_SIL	W2	SIL	5	12	15	N	8	1	5.5	4	2.333333333	2	16.66666667	28.33333333	5	105	8	1	5.5	4	NA	1.833333333	NA	NA	3.333333333	5.666666667	2.333333333	18.33333333	5	NA	19.33333333	5.5	9.5	3	0.7475	2.333333333	NA	20	0	66.66666667	NA	2.333333333	2	16.66666667	28.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.33333333	5.5	2020	3	W	West
60	NA	west	W2_SIL	W2	SIL	5	12	15	N	0	0	1.5	5	0.02	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0.02	2	0	0	0	0	0	NA	NA	NA	NA	2019	NA	W	West
61	NA	central	W3_SIL	W3	SIL	1	2	1	S	8	1	6	3	0	0	0	38.33333333	1	90	8	1	6	3	NA	2.05	24.33333333	7.6	3.666666667	0	0	0	1	NA	NA	NA	9.333333333	4.666666667	0.855	8.333333333	NA	40	1.666666667	5	NA	0	0	0	38.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.33333333	7.6	2020	3	W	West
61	NA	central	W3_SIL	W3	SIL	1	2	1	S	0	1	1.4	4	0	0	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.4	4	0	0	0	0.1	0	0	0	NA	NA	NA	NA	2019	NA	W	West
62	NA	central	W4_SIL	W4	SIL	1	9	1	S	9	0	5.5	5	0	0	0	36.66666667	2	125	9	0	5.5	5	NA	2.466666667	37.33333333	9.65	3.666666667	0	0	0	2	NA	NA	9.05	8.5	3.666666667	0.797333333	10.33333333	NA	30	3.333333333	3.333333333	NA	0	0	0	36.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.33333333	9.35	2020	5	W	West
62	NA	central	W4_SIL	W4	SIL	1	9	1	S	0	0	1.4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.4	4	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	W	West
63	NA	central	C3_SIL	C3	SIL	1	11	2	N	9	0	3.9	6	0	0	0	0.366666667	2.333333333	125	9	0	3.9	6	NA	3.016666667	NA	NA	5.333333333	0	0	0	2.333333333	NA	26.66666667	5.816666667	9	5.5	0.973	47	NA	3.333333333	10	5	NA	0	0	0	0.366666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.66666667	5.816666667	2020	6	C	Central
63	NA	central	C3_SIL	C3	SIL	1	11	2	N	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
64	NA	central	W1_SIL	W1	SIL	1	6	2	N	8	1	5.7	3	0	0	0	76.66666667	0.333333333	110	8	1	5.7	3	NA	2.35	24	9.5	1.333333333	0	0	0	0.333333333	NA	23.5	6.75	8.5	4	0.737	4.333333333	NA	26.66666667	3.333333333	5	NA	0	0	0	76.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.75	8.125	2020	3	W	West
64	NA	central	W1_SIL	W1	SIL	1	6	2	N	0	0	1.3	3	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.3	3	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	W	West
65	NA	central	C1_SIL	C1	SIL	1	5	2	N	8	1	6.3	5	0	0	0	36.66666667	0.666666667	115	8	1	6.3	5	NA	2.45	35	7.75	5.333333333	0	0	0	0.666666667	NA	NA	NA	8.333333333	4.333333333	0.971	14.33333333	NA	20	5	6.666666667	NA	0	0	0	36.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	7.75	2020	5	C	Central
65	NA	central	C1_SIL	C1	SIL	1	5	2	N	0	1	1.4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.4	4	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
66	NA	central	E1_SIL	E1	SIL	1	4	2	N	9	0	4.7	6	0	0	0	1.7	2	105	9	0	4.7	6	NA	2.033333333	14	5.7	8	0	0	0	2	NA	18	5.6	9.333333333	4	0.887666667	27	NA	13.33333333	0	5	NA	0	0	0	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	5.65	2020	6	E	East
66	NA	central	E1_SIL	E1	SIL	1	4	2	N	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
67	NA	central	C4_SIL	C4	SIL	1	3	2	N	8	1	4.5	6	0	0	0	3.833333333	2.666666667	125	8	1	4.5	6	NA	2.633333333	24	7.5	6.333333333	0	0	0	2.666666667	NA	20	6.15	9.166666667	4.833333333	1.026333333	26.33333333	NA	3.333333333	1.666666667	5	NA	0	0	0	3.833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	6.825	2020	6	C	Central
67	NA	central	C4_SIL	C4	SIL	1	3	2	N	0	1	1.6	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.6	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
68	NA	central	W2_SIL	W2	SIL	1	3	3	S	9	0	4.9	3	0	0	0	48.33333333	1.666666667	90	9	0	4.9	3	NA	2.233333333	25	9.9	1.333333333	0	0	0	1.666666667	NA	34	7.35	9.75	4	0.918666667	7	NA	46.66666667	3.333333333	5	NA	0	0	0	48.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.5	8.625	2020	3	W	West
68	NA	central	W2_SIL	W2	SIL	1	3	3	S	0	0	1.3	3	0	0	0	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.3	3	0	0	0	0.01	0	0	0	NA	NA	NA	NA	2019	NA	W	West
69	NA	central	E2_SIL	E2	SIL	1	7	3	S	9	0	4.3	6	0	0	0	2.333333333	1.666666667	105	9	0	4.3	6	NA	2.366666667	13	6.6	6.666666667	0	0	0	1.666666667	NA	14.5	6.1	8.833333333	5.333333333	0.858333333	40	NA	6.666666667	0	5	NA	0	0	0	2.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.75	6.35	2020	6	E	East
69	NA	central	E2_SIL	E2	SIL	1	7	3	S	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
70	NA	central	E3_SIL	E3	SIL	1	9	3	S	8	1	3.9	5	0	0	0	0.033333333	1.666666667	115	8	1	3.9	5	NA	1.8	NA	NA	6.666666667	0	0	0	1.666666667	NA	14	5.6	8.833333333	4	0.837333333	33.66666667	NA	3.333333333	0	3.333333333	NA	0	0	0	0.033333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	5.6	2020	5	E	East
70	NA	central	E3_SIL	E3	SIL	1	9	3	S	0	1	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
71	NA	central	E4_SIL	E4	SIL	1	9	4	N	9	0	4	5	0	0	0	0.033333333	2.333333333	115	9	0	4	5	NA	2.15	14	NA	7.333333333	0	0	0	2.333333333	NA	17	5.45	8.833333333	3.666666667	0.846333333	22.33333333	NA	11.66666667	0	5	NA	0	0	0	0.033333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5	5.45	2020	5	E	East
71	NA	central	E4_SIL	E4	SIL	1	9	4	N	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
72	NA	central	C2_SIL	C2	SIL	1	1	4	N	9	0	3.7	5	0	0	0	4.166666667	1	115	9	0	3.7	5	NA	2.666666667	NA	NA	4.666666667	0	0	0	1	NA	20	6.55	9	5	0.948666667	29.66666667	NA	3.333333333	5	5	NA	0	0	0	4.166666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	6.55	2020	5	C	Central
72	NA	central	C2_SIL	C2	SIL	1	1	4	N	0	0	1.5	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
73	NA	central	C2_SIL	C2	SIL	2	2	5	S	8	1	3.7	4	0	0	0	11.66666667	0.666666667	110	8	1	3.7	4	NA	2.25	NA	NA	6	0	0	0	0.666666667	NA	18.66666667	6.366666667	7.666666667	4.166666667	0.964333333	21.66666667	NA	11.66666667	1.666666667	5	NA	0	0	0	11.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.66666667	6.366666667	2020	4	C	Central
73	NA	central	C2_SIL	C2	SIL	2	2	5	S	0	0	1.5	4	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	4	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
74	NA	central	W4_SIL	W4	SIL	2	3	5	S	9	0	5	3	0	0	0	18.33333333	3.333333333	100	9	0	5	3	NA	2.016666667	NA	NA	1.666666667	0	0	0	3.333333333	NA	16	6.5	8	3.333333333	0.815333333	3	NA	40	0	3.333333333	NA	0	0	0	18.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	6.5	2020	3	W	West
74	NA	central	W4_SIL	W4	SIL	2	3	5	S	0	0	1.3	4	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.3	4	0	0	0	1	0	0	0	NA	NA	NA	NA	2019	NA	W	West
75	NA	central	W2_SIL	W2	SIL	2	5	5	S	8	1	3.3	2	0	0	0	30	0	65	8	1	3.3	2	NA	2	23	5.95	1	0	0	0	0	NA	23.5	6.75	9.166666667	4.8	0.861	5	NA	30	3.333333333	18.33333333	NA	0	0	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.25	6.35	2020	2	W	West
76	NA	central	E4_SIL	E4	SIL	2	9	5	S	9	0	3.7	5	0	0	0	0.2	2.333333333	105	9	0	3.7	5	NA	2.016666667	NA	NA	6	NA	NA	NA	2.333333333	NA	14	6.066666667	7.666666667	3.333333333	0.799	23.33333333	NA	5	1.666666667	8.333333333	NA	0	0	0	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	6.066666667	2020	5	E	East
76	NA	central	E4_SIL	E4	SIL	2	9	5	S	0	0	1.4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.4	4	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
77	NA	central	C3_SIL	C3	SIL	2	3	6	N	9	0	3.5	5	0	0	0	0.366666667	1.333333333	110	9	0	3.5	5	NA	2.366666667	NA	NA	5.666666667	0	0	0	1.333333333	NA	17.66666667	5.433333333	7	3.7	0.879	25	NA	8.333333333	0	10	NA	0	0	0	0.366666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.66666667	5.433333333	2020	5	C	Central
77	NA	central	C3_SIL	C3	SIL	2	3	6	N	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
78	NA	central	E3_SIL	E3	SIL	2	5	7	S	9	0	3.9	6	0	0	0	1.7	1.666666667	120	9	0	3.9	6	NA	2.516666667	NA	NA	5	0	0	0	1.666666667	NA	14.66666667	6.033333333	8.333333333	4.666666667	0.818666667	46	NA	1.666666667	0	15	NA	0	0	0	1.7	NA	drybloctchsymptom-easternanscentral	drybloctchsymptom-easternanscentral	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.66666667	6.033333333	2020	6	E	East
78	NA	central	E3_SIL	E3	SIL	2	5	7	S	1	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
79	NA	central	E1_SIL	E1	SIL	2	9	7	S	8	1	4.3	6	0	0	0	10	1.333333333	125	8	1	4.3	6	NA	2.35	17	5.425	7.333333333	0	0	0	1.333333333	NA	16	5.7	10.83333333	4.833333333	0.797666667	67.66666667	NA	13.33333333	6.666666667	16.66666667	NA	0	0	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	5.5625	2020	6	E	East
79	NA	central	E1_SIL	E1	SIL	2	9	7	S	0	1	1.7	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.7	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
80	NA	central	C1_SIL	C1	SIL	2	11	7	S	8	1	6	6	0	0	0	27.33333333	1	120	8	1	6	6	NA	2.633333333	30.33333333	7.95	7.666666667	0	0	0	1	NA	NA	NA	8.666666667	3.5	0.928	14	NA	16.66666667	23.33333333	23.33333333	NA	0	0	0	27.33333333	NA	lodging	lodging	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.33333333	7.95	2020	6	C	Central
80	NA	central	C1_SIL	C1	SIL	2	11	7	S	0	0	1.5	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
81	NA	central	W3_SIL	W3	SIL	2	10	8	N	5	3	5.5	2	0	0	0	33.33333333	0.666666667	95	5	3	5.5	2	NA	2.4	37	9.1	1.666666667	0	0	0	0.666666667	NA	NA	6.5	10.33333333	4.5	0.867333333	5	NA	66.66666667	6.666666667	15	NA	0	0	0	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	7.8	2020	2	W	West
81	NA	central	W3_SIL	W3	SIL	2	10	8	N	0	0	1.3	2	0	0	0	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.3	2	0	0	0	0.01	0	0	0	NA	NA	NA	NA	2019	NA	W	West
82	NA	central	C4_SIL	C4	SIL	2	8	8	N	9	0	6.3	7	0	0	0	6.666666667	1.666666667	145	9	0	6.3	7	NA	2.483333333	23	6.85	6.333333333	0	0	0	1.666666667	NA	18	6	8.666666667	4.666666667	0.931666667	25	NA	5	1.666666667	18.33333333	NA	0	0	0	6.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	6.425	2020	7	C	Central
82	NA	central	C4_SIL	C4	SIL	2	8	8	N	0	0	1.5	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
83	NA	central	W1_SIL	W1	SIL	2	4	8	N	9	0	5.5	3	0	0	0	83.33333333	0.333333333	115	9	0	5.5	3	NA	2.333333333	26.5	9.125	1.666666667	0	0	0	0.333333333	NA	NA	8.75	9.25	4.75	0.8655	10.66666667	NA	20	0	0	NA	0	0	0	83.33333333	NA	leafherbiovrydifficultduetodisease	leafherbiovrydifficultduetodisease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.5	8.9375	2020	3	W	West
83	NA	central	W1_SIL	W1	SIL	2	4	8	N	0	0	1.3	4	0	0	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.3	4	0	0	0	0.1	0	0	0	NA	NA	NA	NA	2019	NA	W	West
84	NA	central	E2_SIL	E2	SIL	2	2	8	N	9	0	4.3	6	0	0	0	1.833333333	3	120	9	0	4.3	6	NA	2.7	NA	NA	8	NA	NA	NA	3	NA	15.33333333	6.05	8.666666667	4.166666667	0.870333333	60.66666667	NA	5	0	8.333333333	NA	0	0	0	1.833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.33333333	6.05	2020	6	E	East
84	NA	central	E2_SIL	E2	SIL	2	2	8	N	0	0	1.5	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
85	NA	central	E4_SIL	E4	SIL	3	11	10	N	9	0	4.7	6	0	0	0	0.7	1	130	9	0	4.7	6	NA	2.216666667	16.5	5.8	9.666666667	0	0	0	1	NA	19	5.975	8.333333333	3.5	0.901333333	59.33333333	NA	8.333333333	0	6.666666667	NA	0	0	0	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.75	5.8875	2020	6	E	East
85	NA	central	E4_SIL	E4	SIL	3	11	10	N	0	0	1.5	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.5	5	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	E	East
86	NA	central	C4_SIL	C4	SIL	3	10	10	N	8	1	4.7	6	0	0	0	6.7	0.666666667	135	8	1	4.7	6	NA	3.366666667	25	8	8.666666667	0	0	0	0.666666667	NA	18	6.75	10.66666667	6.333333333	0.946	94.33333333	NA	6.666666667	3.333333333	16.66666667	NA	0	0	0	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.5	7.375	2020	6	C	Central
86	NA	central	C4_SIL	C4	SIL	3	10	10	N	0	1	1.5	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1.5	6	0	0	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
