allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG_2020	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019	insertrows	AVG_Lig_2020	AVG_Disk_Dia_2020	Year
63	NA	central	C3_SIL	C3	SIL	1	11	2	N	125	0	9	3.9	6	6	NA	3.016666667	NA	NA	5.333333333	0	0	0	2.333333333	NA	26.66666667	5.816666667	9	5.5	0.973	47	NA	3.333333333	10	5	NA	0	0	0	0.366666667	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	26.66666667	5.816666667	NA
64	NA	central	W1_SIL	W1	SIL	1	6	2	N	110	1	8	5.7	3	3	NA	2.35	24	9.5	1.333333333	0	0	0	0.333333333	NA	23.5	6.75	8.5	4	0.737	4.333333333	NA	26.66666667	3.333333333	5	NA	0	0	0	76.66666667	NA	NA	NA	0	0	3	1.3	0	0	0	0	0	0	0	NA	Average	23.75	8.125	NA
65	NA	central	C1_SIL	C1	SIL	1	5	2	N	115	1	8	6.3	5	5	NA	2.45	35	7.75	5.333333333	0	0	0	0.666666667	NA	NA	NA	8.333333333	4.333333333	0.971	14.33333333	NA	20	5	6.666666667	NA	0	0	0	36.66666667	NA	NA	NA	0	1	4	1.4	0	0	0	0	0	0	0	NA	Average	35	7.75	NA
66	NA	central	E1_SIL	E1	SIL	1	4	2	N	105	0	9	4.7	6	6	NA	2.033333333	14	5.7	8	0	0	0	2	NA	18	5.6	9.333333333	4	0.887666667	27	NA	13.33333333	0	5	NA	0	0	0	1.7	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	16	5.65	NA
67	NA	central	C4_SIL	C4	SIL	1	3	2	N	125	1	8	4.5	6	6	NA	2.633333333	24	7.5	6.333333333	0	0	0	2.666666667	NA	20	6.15	9.166666667	4.833333333	1.026333333	26.33333333	NA	3.333333333	1.666666667	5	NA	0	0	0	3.833333333	NA	NA	NA	0	1	6	1.6	0	0	0	0	0	0	0	NA	Average	22	6.825	NA
68	NA	central	W2_SIL	W2	SIL	1	3	3	S	90	0	9	4.9	3	3	NA	2.233333333	25	9.9	1.333333333	0	0	0	1.666666667	NA	34	7.35	9.75	4	0.918666667	7	NA	46.66666667	3.333333333	5	NA	0	0	0	48.33333333	NA	NA	NA	0	0	3	1.3	0	0	0	0.01	0	0	0	NA	Average	29.5	8.625	NA
69	NA	central	E2_SIL	E2	SIL	1	7	3	S	105	0	9	4.3	6	6	NA	2.366666667	13	6.6	6.666666667	0	0	0	1.666666667	NA	14.5	6.1	8.833333333	5.333333333	0.858333333	40	NA	6.666666667	0	5	NA	0	0	0	2.333333333	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	13.75	6.35	NA
70	NA	central	E3_SIL	E3	SIL	1	9	3	S	115	1	8	3.9	5	5	NA	1.8	NA	NA	6.666666667	0	0	0	1.666666667	NA	14	5.6	8.833333333	4	0.837333333	33.66666667	NA	3.333333333	0	3.333333333	NA	0	0	0	0.033333333	NA	NA	NA	0	1	5	1.5	0	0	0	0	0	0	0	NA	Average	14	5.6	NA
71	NA	central	E4_SIL	E4	SIL	1	9	4	N	115	0	9	4	5	5	NA	2.15	14	NA	7.333333333	0	0	0	2.333333333	NA	17	5.45	8.833333333	3.666666667	0.846333333	22.33333333	NA	11.66666667	0	5	NA	0	0	0	0.033333333	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	15.5	5.45	NA
72	NA	central	C2_SIL	C2	SIL	1	1	4	N	115	0	9	3.7	5	5	NA	2.666666667	NA	NA	4.666666667	0	0	0	1	NA	20	6.55	9	5	0.948666667	29.66666667	NA	3.333333333	5	5	NA	0	0	0	4.166666667	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	20	6.55	NA
73	NA	central	C2_SIL	C2	SIL	2	2	5	S	110	1	8	3.7	4	4	NA	2.25	NA	NA	6	0	0	0	0.666666667	NA	18.66666667	6.366666667	7.666666667	4.166666667	0.964333333	21.66666667	NA	11.66666667	1.666666667	5	NA	0	0	0	11.66666667	NA	NA	NA	0	0	4	1.5	0	0	0	0	0	0	0	NA	Average	18.66666667	6.366666667	NA
74	NA	central	W4_SIL	W4	SIL	2	3	5	S	100	0	9	5	3	3	NA	2.016666667	NA	NA	1.666666667	0	0	0	3.333333333	NA	16	6.5	8	3.333333333	0.815333333	3	NA	40	0	3.333333333	NA	0	0	0	18.33333333	NA	NA	NA	0	0	4	1.3	0	0	0	1	0	0	0	NA	Average	16	6.5	NA
75	NA	central	W2_SIL	W2	SIL	2	5	5	S	65	1	8	3.3	2	2	NA	2	23	5.95	1	0	0	0	0	NA	23.5	6.75	9.166666667	4.8	0.861	5	NA	30	3.333333333	18.33333333	NA	0	0	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Average	23.25	6.35	NA
76	NA	central	E4_SIL	E4	SIL	2	9	5	S	105	0	9	3.7	5	5	NA	2.016666667	NA	NA	6	NA	NA	NA	2.333333333	NA	14	6.066666667	7.666666667	3.333333333	0.799	23.33333333	NA	5	1.666666667	8.333333333	NA	0	0	0	0.2	NA	NA	NA	0	0	4	1.4	0	0	0	0	0	0	0	NA	Average	14	6.066666667	NA
77	NA	central	C3_SIL	C3	SIL	2	3	6	N	110	0	9	3.5	5	5	NA	2.366666667	NA	NA	5.666666667	0	0	0	1.333333333	NA	17.66666667	5.433333333	7	3.7	0.879	25	NA	8.333333333	0	10	NA	0	0	0	0.366666667	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	17.66666667	5.433333333	NA
78	NA	central	E3_SIL	E3	SIL	2	5	7	S	120	0	9	3.9	6	6	NA	2.516666667	NA	NA	5	0	0	0	1.666666667	NA	14.66666667	6.033333333	8.333333333	4.666666667	0.818666667	46	NA	1.666666667	0	15	NA	0	0	0	1.7	NA	drybloctchsymptom-easternanscentral	drybloctchsymptom-easternanscentral	1	0	5	1.5	0	0	0	0	0	0	0	NA	Average	14.66666667	6.033333333	NA
79	NA	central	E1_SIL	E1	SIL	2	9	7	S	125	1	8	4.3	6	6	NA	2.35	17	5.425	7.333333333	0	0	0	1.333333333	NA	16	5.7	10.83333333	4.833333333	0.797666667	67.66666667	NA	13.33333333	6.666666667	16.66666667	NA	0	0	0	10	NA	NA	NA	0	1	6	1.7	0	0	0	0	0	0	0	NA	Average	16.5	5.5625	NA
80	NA	central	C1_SIL	C1	SIL	2	11	7	S	120	1	8	6	6	6	NA	2.633333333	30.33333333	7.95	7.666666667	0	0	0	1	NA	NA	NA	8.666666667	3.5	0.928	14	NA	16.66666667	23.33333333	23.33333333	NA	0	0	0	27.33333333	NA	lodging	lodging	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	30.33333333	7.95	NA
81	NA	central	W3_SIL	W3	SIL	2	10	8	N	95	3	5	5.5	2	2	NA	2.4	37	9.1	1.666666667	0	0	0	0.666666667	NA	NA	6.5	10.33333333	4.5	0.867333333	5	NA	66.66666667	6.666666667	15	NA	0	0	0	33.33333333	NA	NA	NA	0	0	2	1.3	0	0	0	0.01	0	0	0	NA	Average	37	7.8	NA
82	NA	central	C4_SIL	C4	SIL	2	8	8	N	145	0	9	6.3	7	7	NA	2.483333333	23	6.85	6.333333333	0	0	0	1.666666667	NA	18	6	8.666666667	4.666666667	0.931666667	25	NA	5	1.666666667	18.33333333	NA	0	0	0	6.666666667	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	20.5	6.425	NA
83	NA	central	W1_SIL	W1	SIL	2	4	8	N	115	0	9	5.5	3	3	NA	2.333333333	26.5	9.125	1.666666667	0	0	0	0.333333333	NA	NA	8.75	9.25	4.75	0.8655	10.66666667	NA	20	0	0	NA	0	0	0	83.33333333	NA	leafherbiovrydifficultduetodisease	leafherbiovrydifficultduetodisease	0	0	4	1.3	0	0	0	0.1	0	0	0	NA	Average	26.5	8.9375	NA
84	NA	central	E2_SIL	E2	SIL	2	2	8	N	120	0	9	4.3	6	6	NA	2.7	NA	NA	8	NA	NA	NA	3	NA	15.33333333	6.05	8.666666667	4.166666667	0.870333333	60.66666667	NA	5	0	8.333333333	NA	0	0	0	1.833333333	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	15.33333333	6.05	NA
85	NA	central	E4_SIL	E4	SIL	3	11	10	N	130	0	9	4.7	6	6	NA	2.216666667	16.5	5.8	9.666666667	0	0	0	1	NA	19	5.975	8.333333333	3.5	0.901333333	59.33333333	NA	8.333333333	0	6.666666667	NA	0	0	0	0.7	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	17.75	5.8875	NA
86	NA	central	C4_SIL	C4	SIL	3	10	10	N	135	1	8	4.7	6	6	NA	3.366666667	25	8	8.666666667	0	0	0	0.666666667	NA	18	6.75	10.66666667	6.333333333	0.946	94.33333333	NA	6.666666667	3.333333333	16.66666667	NA	0	0	0	6.7	NA	NA	NA	0	1	6	1.5	0	0	0	0	0	0	0	NA	Average	21.5	7.375	NA
87	NA	central	W3_SIL	W3	SIL	3	4	10	N	105	3	6	6	2	2	NA	2.15	31	6.85	3.333333333	0	0	0	0.666666667	NA	26	7.15	9.75	4.25	0.730333333	7.666666667	NA	6.666666667	0	7.5	NA	0	0	0	18.33333333	NA	NA	NA	0	2	2	0.9	0	0	0	0.01	0	0	0	NA	Average	28.5	7	NA
88	NA	central	W2_SIL	W2	SIL	3	3	10	N	110	1	8	5.7	2	2	NA	2.283333333	38	9.375	3.666666667	0	0	0	1.333333333	NA	18	6.4	9.5	4.166666667	0.799333333	10.66666667	NA	6.666666667	10	33.33333333	NA	0	0	0	70	NA	NA	NA	0	0	2	0.9	0	0	0	0	0	0	0	NA	Average	28	7.8875	NA
89	NA	central	W4_SIL	W4	SIL	3	1	11	S	115	1	8	4.7	4	4	NA	2.5	31.66666667	8.766666667	3.666666667	0	0	0	0.333333333	NA	NA	NA	9.166666667	4.333333333	0.781	10.33333333	NA	23.33333333	6.666666667	33.33333333	NA	0	0	0	36.66666667	NA	NA	NA	0	0	3	1.3	0	0	0	0	0	0	0	NA	Average	31.66666667	8.766666667	NA
90	NA	central	C3_SIL	C3	SIL	3	2	11	S	120	0	9	3.5	6	6	NA	2.816666667	NA	NA	4.333333333	0	0	0	1.666666667	NA	22.66666667	6.3	7.833333333	4.666666667	0.842666667	40	NA	3.333333333	3.333333333	18.33333333	NA	0	0	0	0.366666667	NA	NA	NA	0	0	4	1.5	0	0	0	0	0	0	0	NA	Average	22.66666667	6.3	NA
91	NA	central	C1_SIL	C1	SIL	3	9	11	S	130	1	8	5.7	6	6	NA	2.183333333	29	7.683333333	8.333333333	0	0	0	2	NA	NA	NA	7.833333333	3.666666667	0.805333333	12.66666667	NA	6.666666667	3.333333333	11.66666667	NA	0	0	0	40	NA	NA	NA	0	1	5	1.4	0	0	0	0	0	0	0	NA	Average	29	7.683333333	NA
92	NA	central	C2_SIL	C2	SIL	3	10	11	S	135	0	9	3.9	7	7	NA	3.583333333	26	6.5	5.333333333	0	0	0	0.666666667	NA	24	6.3	10.66666667	5.833333333	0.950333333	42.33333333	NA	13.33333333	5	13.33333333	NA	0	0	0	9	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	25	6.4	NA
93	NA	central	E3_SIL	E3	SIL	3	10	12	N	115	0	9	4.5	5	5	NA	1.9	16.5	5.25	6	0	0	0	1.333333333	NA	12	6.475	7.666666667	3.5	0.81	30.66666667	NA	3.333333333	0	5	NA	0	0	0	0.366666667	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	14.25	5.8625	NA
94	NA	central	E1_SIL	E1	SIL	3	9	12	N	115	0	9	4.9	5	5	NA	2.216666667	16	5.85	9	0	0	0	1.666666667	NA	NA	5.925	9.333333333	3.833333333	0.806333333	40	NA	13.33333333	1.666666667	6.666666667	NA	0	0	0	1.333333333	NA	NA	NA	0	0	5	1.6	0	0	0	0	0	0	0	NA	Average	16	5.8875	NA
95	NA	central	W1_SIL	W1	SIL	3	7	12	N	105	1	8	6	3	3	NA	2.633333333	27	8.433333333	3.333333333	0	0	0	0	NA	NA	NA	10.5	4.666666667	0.776333333	13.33333333	NA	36.66666667	5	23.33333333	NA	0	0	0	46.66666667	NA	NA	NA	0	1	2	0.9	0	0	0	0.2	0	0	0	NA	Average	27	8.433333333	NA
96	NA	central	E2_SIL	E2	SIL	3	2	12	N	115	0	9	4.7	5	5	NA	2.316666667	17	5.525	9.333333333	0	0	0	3	NA	15	5.3	7.333333333	3.5	0.754666667	32	NA	5	1.666666667	20	NA	0	0	0	2.333333333	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	16	5.4125	NA
97	NA	central	C4_SIL	C4	SIL	4	1	13	S	155	0	9	4.3	7	7	NA	3.3	23.33333333	7.025	8	0	0	0	1.666666667	NA	NA	6.36	8.666666667	5.166666667	0.944666667	65	NA	13.33333333	1.666666667	20	NA	0	0	0	1.5	NA	NA	NA	0	0	6	1.7	0	0	0	0	0	0	0	NA	Average	23.33333333	6.6925	NA
98	NA	central	E1_SIL	E1	SIL	4	2	13	S	140	0	9	4.5	6	6	NA	2.85	20.5	6.45	10	0	0	0	2	NA	14	7.3	10.33333333	4.5	0.694	66.33333333	NA	20	1.666666667	30	NA	0	0	0	5.333333333	NA	NA	NA	1	0	7	1.7	0	0	0	0	0	0	0	NA	Average	17.25	6.875	NA
99	NA	central	W4_SIL	W4	SIL	4	4	13	S	100	2	7	4.7	3	3	NA	2.033333333	35	7.35	3	0	0	0	2.333333333	NA	27	6	9.5	3.75	0.693333333	5	NA	26.66666667	16.66666667	36.66666667	NA	0	0	0	46.66666667	NA	NA	NA	0	1	3	1.1	0	0	0	0.5	0	0	0	NA	Average	31	6.675	NA
100	NA	central	W2_SIL	W2	SIL	4	5	13	S	75	5	4	4.7	2	2	NA	2.683333333	29	6.45	1	0	0	0	0	NA	27	6.25	9.166666667	4.5	0.713333333	10.33333333	NA	16.66666667	0	36.66666667	NA	0	0	0	50	NA	NA	NA	0	0	2	0.7	0	0	0	0.02	0	0	0	NA	Average	28	6.35	NA
101	NA	central	E2_SIL	E2	SIL	4	7	13	S	140	0	9	4.5	6	6	NA	2.583333333	19	6.7	9	0	0	0	1.333333333	NA	17.5	6.625	7.333333333	3.833333333	0.746	26.33333333	NA	3.333333333	0	18.33333333	NA	0	0	0	0	NA	NA	NA	0	0	6	1.7	0	0	0	0	0	0	0	NA	Average	18.25	6.6625	NA
102	NA	central	C3_SIL	C3	SIL	4	3	14	N	150	0	9	4.5	7	7	NA	2.633333333	NA	NA	9.333333333	0	0	0	2	NA	19	6.183333333	7.666666667	4.833333333	0.889	31	NA	8.333333333	1.666666667	20	NA	0	0	0	0.066666667	NA	NA	NA	1	0	6	1.8	0	0	0	0	0	0	0	NA	Average	19	6.183333333	NA
103	NA	central	E4_SIL	E4	SIL	4	3	15	S	135	0	9	5.5	5	5	NA	2.583333333	18	5.9	11.66666667	0	0	0	2.666666667	NA	16	7.1	10.5	5	0.776	60.66666667	NA	11.66666667	1.666666667	16.66666667	NA	0	0	0	7.333333333	NA	NA	NA	0	0	6	1.6	0	0	0	0	0	0	0	NA	Average	17	6.5	NA
104	NA	central	W1_SIL	W1	SIL	4	5	15	S	110	2	7	5.3	3	3	NA	2.483333333	24.33333333	8.183333333	1.666666667	0	0	0	0.333333333	NA	NA	NA	9.166666667	4.333333333	0.766	11	NA	30	3.333333333	6.666666667	NA	0	0	0	56.66666667	NA	NA	NA	0	2	2	0.9	0	0	0	0.01	0	0	0	NA	Average	24.33333333	8.183333333	NA
105	NA	central	C2_SIL	C2	SIL	4	6	15	S	155	0	9	3.7	7	7	NA	3.116666667	NA	NA	6.666666667	0	0	0	1	NA	16.66666667	6.3	8.333333333	4.666666667	0.942666667	33	NA	3.333333333	1.666666667	13.33333333	NA	0	0	0	28.33333333	NA	NA	NA	0	0	7	1.5	0	0	0	0	0	0	0	NA	Average	16.66666667	6.3	NA
106	NA	central	C1_SIL	C1	SIL	4	9	16	N	125	0	9	6.3	6	6	NA	2.5	35	8.75	5.666666667	0	0	0	2.333333333	NA	NA	NA	9.333333333	4.166666667	0.807666667	14.66666667	NA	36.66666667	5	40	NA	0	0	0	25	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	35	8.75	NA
107	NA	central	W3_SIL	W3	SIL	4	4	16	N	100	1	7	5.5	3	3	NA	1.766666667	20.5	7.35	4.333333333	0	0	0	1	NA	18	6.65	8.5	3.5	0.779	9.666666667	NA	36.66666667	0	21.66666667	NA	0	0	0	31.66666667	NA	NA	NA	0	1	3	0.9	0	0	0	0.1	0	0	0	NA	Average	19.25	7	NA
108	NA	central	E3_SIL	E3	SIL	4	1	16	N	125	0	9	3.5	5	5	NA	2.076666667	18	7.45	5.333333333	0	0	0	1.333333333	NA	14	5.25	8.166666667	3.666666667	0.708333333	26.66666667	NA	5	0	6.666666667	NA	0	0	0	0	NA	NA	NA	0	0	6	1.5	0	0	0	0	0	0	0	NA	Average	16	6.35	NA
109	NA	central	E3_SIL	E3	SIL	5	3	17	S	120	1	8	4.7	5	5	NA	2.466666667	15	7.35	5.333333333	0	0	0	2	NA	16.5	7.175	7.833333333	4.166666667	0.885	46.66666667	NA	6.666666667	0	8.333333333	NA	0	0	0	0.166666667	NA	NA	NA	0	1	5	1.5	0	0	0	0	0	0	0	NA	Average	15.75	7.2625	NA
110	NA	central	E1_SIL	E1	SIL	5	5	17	S	115	0	9	4.1	5	5	NA	2.25	22	5.85	10	0	0	0	3	NA	13.5	6.925	8.166666667	3.666666667	0.722	33.66666667	NA	8.333333333	0	13.33333333	NA	0	0	0	0.2	NA	NA	NA	0	1	6	1.5	0	0	0	0	0	0	0	NA	Average	17.75	6.3875	NA
111	NA	central	C1_SIL	C1	SIL	5	11	17	S	105	0	7	6	4	4	NA	1.8	26.66666667	8.7	5.333333333	0	0	0	1	NA	NA	7.45	9.5	3.5	0.7	5.666666667	NA	36.66666667	20	5	NA	0	0	0	81.66666667	NA	NA	NA	0	0	4	1.4	0	0	0	0.5	0	0	0	NA	Average	26.66666667	8.075	NA
112	NA	central	C2_SIL	C2	SIL	5	11	18	N	120	0	9	3.5	6	6	NA	2.9	NA	NA	6	0	0	0	1	NA	17.33333333	7.316666667	8.333333333	4.833333333	0.914333333	22.66666667	NA	0	23.33333333	11.66666667	NA	0	0	0	11.66666667	NA	NA	NA	0	0	7	1.6	0	0	0	0	0	0	0	NA	Average	17.33333333	7.316666667	NA
113	NA	central	W2_SIL	W2	SIL	5	9	18	N	90	2	7	5.9	3	3	NA	1.816666667	37	6.425	2.666666667	0	0	0	2.333333333	NA	NA	4.25	8.166666667	3.666666667	0.876	5	NA	46.66666667	20	3.333333333	NA	0	0	0	73.33333333	NA	NA	NA	0	1	3	1.3	0	0	0	0.01	0	0	0	2_maybe_not_planted	Average	37	5.3375	NA
114	NA	central	E2_SIL	E2	SIL	5	5	18	N	95	2	7	4.5	4	4	NA	2.55	17	NA	4	0	0	0	1.333333333	NA	13.33333333	6.333333333	7	4	0.748333333	30.33333333	NA	5	0	15	NA	0	0	0	0.033333333	NA	NA	NA	0	NA	5	1.4	0	0	0	0	0	0	0	NA	Average	15.16666667	6.333333333	NA
115	NA	central	C3_SIL	C3	SIL	5	4	18	N	125	1	7	3.5	5	5	NA	2.65	NA	NA	6	0	0	0	1.666666667	NA	20.66666667	6.35	7.666666667	5	0.816666667	28.66666667	NA	10	0	11.66666667	NA	0	0	0	2.333333333	NA	NA	NA	0	1	5	1.4	0	0	0	0	0	0	0	NA	Average	20.66666667	6.35	NA
116	NA	central	C4_SIL	C4	SIL	5	2	18	N	120	0	9	3.3	5	5	NA	2.266666667	NA	NA	5	0	0	0	2	NA	21	6.25	7.5	4.333333333	0.902666667	21.33333333	NA	5	0	6.666666667	NA	0	0	0	2	NA	NA	NA	0	0	5	1.5	0	0	0	0	0	0	0	NA	Average	21	6.25	NA
117	NA	central	W3_SIL	W3	SIL	5	2	19	S	95	2	7	5.5	3	3	NA	1.683333333	31	8.35	1.666666667	0	0	0	2	NA	17	5.8	7.833333333	4.166666667	0.774	5	NA	40	3.333333333	6.666666667	NA	0	0	0	26.66666667	NA	NA	NA	0	0	3	1.3	0	0	0	0.02	0	0	0	NA	Average	24	7.075	NA
118	NA	central	E4_SIL	E4	SIL	5	4	19	S	100	0	9	4.7	4	4	NA	1.716666667	22	6.5	6	0	0	0	1.333333333	NA	13.5	4.925	6.833333333	3.333333333	0.732	23	NA	5	0	8.333333333	NA	0	0	0	2.333333333	NA	NA	NA	0	0	4	1.4	0	0	0	0	0	0	0	NA	Average	17.75	5.7125	NA
119	NA	central	W4_SIL	W4	SIL	5	9	19	S	95	2	7	4.5	3	3	NA	1.583333333	30	NA	2	0	0	0	3	NA	26	6.25	9.5	4	0.821333333	1.333333333	NA	30	0	17.5	NA	0	0	0	48.33333333	NA	NA	NA	0	0	3	1.3	0	0	0	0.1	0	0	0	NA	Average	28	6.25	NA
120	NA	central	W1_SIL	W1	SIL	5	3	20	N	105	1	7	5.5	3	3	NA	1.783333333	32	7.8	3.333333333	0	0	0	1	NA	24	5.3	NA	NA	0.638	4.666666667	NA	26.66666667	3.333333333	NA	NA	0	0	0	96.66666667	NA	NA	NA	0	2	3	1.3	0	0	0	0.01	0	0	0	avg_response_of_plants_w/_rust	Average	28	6.55	NA
121	NA	east	C2_SIL	C2	SIL	1	1	3	L	180	0	9	4.1	8	8	NA	2.683333333	14	7.5	4.666666667	0.1	2	1	0.333333333	NA	25	6.816666667	10.33333333	6.666666667	0.949333333	46	NA	0	0	11.66666667	NA	0.233333333	2	1.666666667	0.2	NA	NA	NA	0	0	9	1.9	10	"0,4,0,0,4,4,3,0,4"	0	0	0	0	0	NA	Average	19.5	7.158333334	NA
122	NA	east	E2_SIL	E2	SIL	1	1	8	L	140	0	9	4.5	5	5	NA	2.716666667	15.5	6.175	6.666666667	0.233333333	2.333333333	0.533333333	3	NA	19	7.05	9.666666667	5.166666667	0.706666667	36	NA	0	0	6.666666667	NA	0.5	2	0.366666667	0	NA	NA	NA	1	0	8	1.9	15	"2,2,3,3,4,4,3,3,3"	60	0	0	0	0	NA	Average	17.25	6.6125	NA
123	NA	east	C3_SIL	C3	SIL	1	2	6	R	165	0	9	4.5	7	7	NA	2.583333333	NA	NA	6	0.366666667	2	0.533333333	1.666666667	NA	18.66666667	6.85	9.666666667	6	0.915	36	NA	3.333333333	0	23.33333333	NA	0.233333333	2	0.866666667	0.066666667	NA	NA	NA	0	0	8	1.8	2	"2,2,3,2,2,2,3,0,2"	0	0.01	0	0	0	NA	Average	18.66666667	6.85	NA
124	NA	east	E3_SIL	E3	SIL	1	2	5	R	145	0	9	4.9	6	6	NA	2.25	13	5.6	10	0.203333333	2	0.066666667	2.666666667	NA	15.5	6.2	11	4.833333333	0.764333333	28.33333333	NA	0	0	6.666666667	NA	0.233333333	2	0.366666667	0.066666667	NA	NA	NA	1	1	8	1.9	1	"2,2,2,4,NA,0.5,2,2,2"	0	0	0	0	0	NA	Average	14.25	5.9	NA
125	NA	east	W3_SIL	W3	SIL	1	2	4	R	155	0	9	5.7	6	6	NA	2.383333333	27	7.05	5.666666667	0	0.033333333	0	3.333333333	NA	22	7.35	9.333333333	4.333333333	0.690666667	9.666666667	NA	6.666666667	0	16.66666667	NA	0.003333333	0.666666667	0	15.5	NA	NA	NA	0	0	8	1.8	0.5	"1,2,0,2,2,2,2,2,2"	0	0	0	0	0	NA	Average	24.5	7.2	NA
126	NA	east	E4_SIL	E4	SIL	1	3	6	L	135	0	9	4.5	6	6	NA	2.216666667	15	4.85	8.333333333	0.233333333	1.366666667	0.233333333	1.666666667	NA	15	7.55	9.333333333	4.5	0.819	25.66666667	NA	0	0	11.66666667	NA	0.233333333	2	0.233333333	0.2	NA	NA	NA	0	0	7	1.7	25	"2,2,3,4,4,3,4,4,3"	0	0	0	0	0	NA	Average	15	6.2	NA
127	NA	east	W1_SIL	W1	SIL	1	4	7	R	155	0	9	6	7	7	NA	2.666666667	26.33333333	9.333333333	10.66666667	0.04	2	0.4	1.666666667	NA	NA	NA	10.16666667	5	0.655333333	11.33333333	NA	13.33333333	3.333333333	30	NA	0.066666667	1.333333333	0.733333333	1.166666667	NA	NA	NA	0	0	8	1.8	0.5	"2,1,0.5,2,0.5,2,0.5,0.5,1"	0	0	0	0	0	NA	Average	26.33333333	9.333333333	NA
128	NA	east	C1_SIL	C1	SIL	1	4	5	R	155	0	9	5.7	6	6	NA	2.266666667	26	6.8	8.333333333	0.4	2	1.5	2.666666667	NA	24	6.95	11	5.166666667	0.718	15	NA	8.333333333	1.666666667	20	NA	0.533333333	1.5	5.333333333	5.666666667	NA	NA	NA	0	0	7	1.7	1	"2,1,2,2,2,2,2,2,2"	0	0.01	0	0	0	NA	Average	25	6.875	NA
129	NA	east	W4_SIL	W4	SIL	1	4	4	R	140	0	9	5.5	6	6	NA	2.383333333	39	11.45	6.333333333	0.006666667	1	0.2	1.666666667	NA	28.5	9.1	11.5	4.666666667	0.687	5	NA	3.333333333	0	33.33333333	NA	0.036666667	0.666666667	0.066666667	0.833333333	NA	NA	NA	0	0	6	1.5	0.1	"0,2,2,2,2,0,1,2,2"	0	0	0	0	0	NA	Average	33.75	10.275	NA
130	NA	east	E1_SIL	E1	SIL	1	6	4	R	135	0	9	3.5	5	5	NA	2.216666667	NA	NA	12	1	2.333333333	1.033333333	2.333333333	NA	15.66666667	5.483333333	7.833333333	4.166666667	0.766666667	23.66666667	NA	0	0	10	NA	2.333333333	2	3	0.833333333	NA	NA	NA	2	0	8	1.9	15	"3,2,4,4,4,4,3,4,3"	25	0	0	0	0	NA	Average	15.66666667	5.483333333	NA
131	NA	east	C4_SIL	C4	SIL	1	6	3	R	145	0	9	4.5	5	5	NA	2.8	NA	NA	8.333333333	1.166666667	3	5.666666667	1.333333333	NA	24.66666667	6.866666667	8.666666667	5.333333333	0.865	34.66666667	NA	0	8.333333333	8.333333333	NA	4	2	7.333333333	0.533333333	NA	NA	NA	0	0	8	1.7	25	"3,4,4,4,3,4,3,0,4"	0	0	0	0	0	NA	Average	24.66666667	6.866666667	NA
