allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_AUG_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019
83	139	west	E4_SIL	E4	SIL	3	12	7	N	NA	NA	NA	NA	NA	NA	3	2.25	14	7.25	15	0.5	2	5	4	NA	NA	NA	9.5	4.5	0.854	16	NA	0	0	10	NA	0.5	2	2	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	140	west	E4_SIL	E4	SIL	3	12	7	N	NA	NA	NA	NA	NA	NA	5	1.9	16	6.6	15	0.5	3	2	3	NA	NA	NA	10	5	0.752	15	NA	5	0	5	NA	0.1	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	143	west	E2_SIL	E2	SIL	3	10	8	S	135	0	9	5.5	7	7	5	2.45	19	5.35	7	2	2	5	1	NA	NA	NA	10.5	6	0.714	24	NA	5	0	50	NA	1	2	1	1	NA	NA	NA	6	0	10	2.9	0.05	2	0.01	0	0	0	0	NA
86	144	west	E2_SIL	E2	SIL	3	10	8	S	NA	NA	NA	NA	NA	NA	6	2.5	22	6.1	16	0.01	1	0	3	NA	NA	NA	12	2	0.567	13	NA	10	0	30	NA	0	0	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	145	west	E2_SIL	E2	SIL	3	10	8	S	NA	NA	NA	NA	NA	NA	9	2	15	7.05	20	1	2	1	3	NA	NA	NA	6.5	3	0.748	18	NA	5	0	10	NA	0.1	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	148	west	C4_SIL	C4	SIL	3	7	8	S	140	0	9	4.5	6	6	2	3.15	NA	NA	12	15	3	40	3	"hypersensitiveresponses,norestrictionofpustules,perfoliatum-esqtraits"	16	5.75	12	6.5	0.986	27	NA	10	20	10	NA	0.5	2	25	0	NA	NA	NA	4	0	10	2.5	0.2	2	0.02	0	0	0	0	NA
89	149	west	C4_SIL	C4	SIL	3	7	8	S	NA	NA	NA	NA	NA	NA	3	2.35	NA	NA	9	10	2	30	1	NA	20	6.1	9	4.5	0.753	23	NA	5	0	20	NA	0.1	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	150	west	C4_SIL	C4	SIL	3	7	8	S	NA	NA	NA	NA	NA	NA	9	2.45	NA	NA	10	5	2	20	2	NA	20	6.5	8.5	5	0.805	14	NA	25	0	10	NA	0.1	2	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	152	west	W1_SIL	W1	SIL	3	5	8	S	140	2	6	5.5	4	5	3	2.1	20	8.6	10	20	3	15	3	"plantposition2hasrustydeadstalks,countedasdead,nolivetissue.plantposition1willprobablydietoo"	NA	NA	9.5	4	0.827	6	NA	30	0	50	NA	5	2	15	2	NA	NA	NA	1	0	7	1.7	0.2	2	0	0.02	0	0	0.05	NA
92	153	west	W1_SIL	W1	SIL	3	5	8	S	NA	NA	NA	NA	NA	NA	5	2.8	24	8.1	10	10	3	10	6	NA	NA	NA	7	3.5	0.855	2	NA	NA	NA	80	NA	2	2	5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	154	west	W1_SIL	W1	SIL	3	5	8	S	NA	NA	NA	NA	NA	NA	9	2.4	33	9.5	16	0.05	2	0	6	NA	NA	NA	9.5	4	0.72	13	NA	30	10	30	NA	0	0	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	156	west	E1_SIL	E1	SIL	3	3	8	S	135	0	9	5.9	7	7	2	1.85	NA	NA	20	0	0	0	2	NA	13	3.35	9	5	0.678	11	NA	5	0	10	NA	0	0	0	1	NA	NA	NA	6	0	10	2.9	0.02	2	0	0	0	0	0	NA
95	157	west	E1_SIL	E1	SIL	3	3	8	S	NA	NA	NA	NA	NA	NA	4	2	NA	NA	20	0	0	0	2	NA	13	5.75	10.5	5	0.727	1	NA	0	0	30	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	158	west	E1_SIL	E1	SIL	3	3	8	S	NA	NA	NA	NA	NA	NA	5	1.95	NA	NA	15	0.5	2	2	4	NA	na	NA	8	3.5	0.78	17	NA	0	0	60	NA	0.5	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	162	west	C3_SIL	C3	SIL	3	2	9	N	140	0	9	4	7	7	2	2.5	NA	NA	11	2	2	20	3	NA	23	6.45	7.5	3.5	0.865	23	NA	0	0	30	NA	1	2	20	0.1	NA	NA	NA	5	0	10	2.5	0.01	2	0	0	0	0	0	NA
98	163	west	C3_SIL	C3	SIL	3	2	9	N	NA	NA	NA	NA	NA	NA	6	2.6	NA	NA	15	0.01	0.5	1	1	NA	20	7	11.5	6	0.901	22	NA	0	10	20	NA	0.01	1	0.5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	164	west	C3_SIL	C3	SIL	3	2	9	N	NA	NA	NA	NA	NA	NA	7	2.2	NA	NA	9	1	2	5	2	NA	16	5.6	9.5	4	0.914	21	NA	5	20	10	NA	0.5	2	10	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	165	west	C1_SIL	C1	SIL	3	3	9	N	130	0	8	6.3	4	6	3	1.95	26	7.2	15	25	3	30	2	possiblestemdieoffbecauseofrust	NA	NA	8	4.5	0.905	3	NA	30	10	60	NA	5	3	25	0.5	NA	NA	NA	1	0	10	1.9	0.2	2	0	0.02	0	0	0	NA
101	166	west	C1_SIL	C1	SIL	3	3	9	N	NA	NA	NA	NA	NA	NA	5	1.9	NA	NA	7	30	3	30	3	c1looksverywesternecotype	NA	NA	NA	NA	NA	2	NA	NA	NA	95	NA	2	3	10	0	NA	nogoodleaves	nogoodleaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	167	west	C1_SIL	C1	SIL	3	3	9	N	NA	NA	NA	NA	NA	NA	7	1	24	7.1	13	15	2	15	2	NA	NA	NA	9	3.5	0.819	2	NA	20	0	80	NA	1	3	15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	171	west	C2_SIL	C2	SIL	3	7	9	N	150	1	8	4	8	8	4	2.15	NA	NA	12	15	2	20	0	NA	22	5.05	10	6.5	0.821	13	NA	10	0	20	NA	2	2	10	0.5	NA	NA	NA	4	0	10	3.1	1	2	0.01	0	0	0	0	NA
104	172	west	C2_SIL	C2	SIL	3	7	9	N	NA	NA	NA	NA	NA	NA	8	2.5	NA	NA	10	0	0	0	2	NA	19	4.7	8	5	0.899	29	NA	0	0	10	NA	0	0	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	173	west	C2_SIL	C2	SIL	3	7	9	N	NA	NA	NA	NA	NA	NA	9	2.9	NA	NA	3	1	0.5	2	1	NA	27	5.7	11	6	0.992	27	NA	5	0	10	NA	0.1	1	1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
106	176	west	W3_SIL	W3	SIL	3	10	9	N	135	0	9	6.1	5	6	3	2.2	24	9.35	14	0.1	2	0.5	9	NA	NA	NA	9	3.5	0.797	6	NA	10	30	40	NA	1	2	2	0.5	NA	NA	NA	3	0	6	2.3	0.02	2	0.05	0.5	0.2	0.1	0.1	NA
107	177	west	W3_SIL	W3	SIL	3	10	9	N	NA	NA	NA	NA	NA	NA	5	2.1	37	10	9	10	2	5	7	NA	NA	NA	11	4.5	0.61	5	NA	20	60	50	NA	1	2	1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	178	west	W3_SIL	W3	SIL	3	10	9	N	NA	NA	NA	NA	NA	NA	8	2	25	8.5	14	2	3	1	4	NA	NA	NA	9	2.5	0.822	9	NA	20	10	75	NA	1	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	181	west	W4_SIL	W4	SIL	4	1	10	N	130	0	9	6	6	5	2	2.35	37	7.85	12	2	3	1	7	NA	NA	NA	8.5	2.5	0.639	4	NA	10	0	60	NA	1	2	2	0.1	NA	NA	NA	2	0	7	1.7	0.05	2	0	0.01	0	0	0	NA
110	182	west	W4_SIL	W4	SIL	4	1	10	N	NA	NA	NA	NA	NA	NA	4	2.25	NA	NA	13	5	2	1	4	NA	29	7.35	10.5	4.5	0.725	6	NA	20	0	40	NA	1	2	1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	183	west	W4_SIL	W4	SIL	4	1	10	N	NA	NA	NA	NA	NA	NA	7	1.9	33	7.65	5	2	2	5	2	NA	NA	NA	9	2.5	0.677	3	NA	0	0	80	NA	1	2	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	196	west	C2_SIL	C2	SIL	4	11	11	S	145	0	9	4.7	8	7	1	3.35	NA	NA	6	0.05	2	0.1	2	NA	NA	NA	12.5	7	0.847	15	NA	0	0	10	NA	0.1	1	0	0.1	NA	NA	NA	3	0	9	1.9	0.05	2	0	0	0	0	0	NA
113	197	west	C2_SIL	C2	SIL	4	11	11	S	NA	NA	NA	NA	NA	NA	4	2.65	28	6.85	14	0.1	2	0.5	0	NA	NA	NA	10	8	0.925	35	NA	5	0	20	NA	0.1	2	0.1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	198	west	C2_SIL	C2	SIL	4	11	11	S	NA	NA	NA	NA	NA	NA	5	2.95	17	6.75	24	0.1	1	1	3	NA	NA	NA	12.5	7.5	0.774	14	NA	10	0	5	NA	0	0	0.5	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	200	west	C3_SIL	C3	SIL	4	9	11	S	150	0	9	4.5	8	7	1	3.45	17	6.7	11	0.1	2	1	5	NA	NA	NA	13	6.5	0.888	48	NA	5	0	5	NA	0.1	2	2	1	NA	NA	NA	8	0	10	2.7	0.01	2	0	0	0	0	0	NA
116	201	west	C3_SIL	C3	SIL	4	9	11	S	NA	NA	NA	NA	NA	NA	4	2.9	NA	NA	10	0.01	1	0.1	4	NA	24	4.85	11.5	6.5	0.807	23	NA	5	0	10	NA	0.1	2	0.5	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
117	202	west	C3_SIL	C3	SIL	4	9	11	S	NA	NA	NA	NA	NA	NA	9	2.9	NA	NA	12	0.5	2	1	5	NA	27	6.65	13	6	0.783	24	NA	5	20	5	NA	0.1	2	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
118	204	west	C4_SIL	C4	SIL	4	7	11	S	130	0	9	4.5	5	6	6	2.1	27	6.55	7	5	2	15	2	NA	NA	NA	9	5	0.753	6	NA	0	10	5	NA	0.5	2	35	0	NA	NA	NA	5	0	10	3.7	1	2	0.01	0.01	0	0	0.05	NA
119	205	west	C4_SIL	C4	SIL	4	7	11	S	NA	NA	NA	NA	NA	NA	7	2.3	NA	NA	8	2	2	30	1	NA	20	5.25	11.5	5	0.713	10	NA	0	0	30	NA	0.5	2	35	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
120	206	west	C4_SIL	C4	SIL	4	7	11	S	NA	NA	NA	NA	NA	NA	8	2.7	NA	NA	5	5	2	25	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	na	na	na	na	NA	roastedbystemrust	roastedbystemrust	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
121	208	west	W3_SIL	W3	SIL	4	5	11	S	130	0	9	5.7	5	5	4	3.7	29	9.1	9	5	3	2	7	NA	NA	NA	10.5	5	0.787	13	NA	30	30	40	NA	2	2	10	5	NA	NA	NA	2	0	5	1.5	1	2	0	2	0	0	0.05	NA
122	209	west	W3_SIL	W3	SIL	4	5	11	S	NA	NA	NA	NA	NA	NA	5	1.9	22	NA	9	5	2	5	7	NA	NA	NA	10	4	0.492	6	NA	30	40	40	NA	0.5	2	15	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	210	west	W3_SIL	W3	SIL	4	5	11	S	NA	NA	NA	NA	NA	NA	8	3.25	31	8.2	10	15	3	5	8	NA	NA	NA	9	4.5	0.666	6	NA	40	10	70	NA	10	3	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
124	211	west	W2_SIL	W2	SIL	4	4	11	S	120	0	9	5	5	5	6	2.3	NA	NA	5	15	3	2	8	NA	NA	NA	11	3	1.39	1	NA	100	0	80	NA	2	2	1	10	NA	NA	NA	0	0	5	1.5	0	0	0	1	0	0	0.1	NA
125	212	west	W2_SIL	W2	SIL	4	4	11	S	NA	NA	NA	NA	NA	NA	7	1.8	26	8.5	5	10	2	5	2	NA	NA	NA	10	4	0.761	3	NA	40	0	80	NA	2	2	5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
126	213	west	W2_SIL	W2	SIL	4	4	11	S	NA	NA	NA	NA	NA	NA	9	2.65	29	7.25	6	10	3	5	6	NA	NA	NA	8	4	0.69	10	NA	30	10	70	NA	5	3	5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
127	215	west	E3_SIL	E3	SIL	4	2	11	S	125	0	9	5.3	7	6	2	2.15	NA	NA	14	0.05	2	2	6	NA	16	3.5	8.5	3.5	0.851	24	NA	0	0	5	NA	0.1	2	1	1	NA	NA	NA	7	0	10	3.3	0	0	0	0	0	0.1	0	NA
128	216	west	E3_SIL	E3	SIL	4	2	11	S	NA	NA	NA	NA	NA	NA	3	2.25	NA	NA	24	0	0	0	6	NA	18	5.65	9	3	0.61	17	NA	0	0	10	NA	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	217	west	E3_SIL	E3	SIL	4	2	11	S	NA	NA	NA	NA	NA	NA	5	1.55	NA	NA	14	0.5	2	5	7	NA	NA	NA	7	1.5	0.528	0	NA	0	0	80	NA	1	2	5	0.5	NA	"blackveinthing,askkt,1score"	"blackveinthing,askkt,1score"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
130	220	west	E4_SIL	E4	SIL	4	2	12	N	115	0	9	4.7	5	6	4	1.5	NA	NA	13	1	2	40	2	NA	17	3.05	8.5	3.5	0.902	2	NA	0	0	30	NA	2	2	30	0	NA	NA	NA	1	0	10	1.9	0.5	2	0	0	0	0	0	NA
131	221	west	E4_SIL	E4	SIL	4	2	12	N	NA	NA	NA	NA	NA	NA	8	1.85	NA	NA	12	1	2	25	5	NA	18	4.75	9	3.5	0.92	20	NA	10	0	35	NA	1	2	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	222	west	E4_SIL	E4	SIL	4	2	12	N	NA	NA	NA	NA	NA	NA	9	1.9	NA	NA	16	1	2	15	6	NA	16	5.15	7.5	3	0.775	14	NA	5	0	30	NA	1	2	20	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	223	west	E1_SIL	E1	SIL	4	3	12	N	125	0	9	5.7	6	6	1	1.8	NA	NA	20	0	0	0	4	NA	13	5.6	7.5	4	0.66	13	NA	5	0	40	NA	0	0	0	0.1	NA	NA	NA	5	0	10	2.1	0.01	2	0	0	0	0	0	NA
134	224	west	E1_SIL	E1	SIL	4	3	12	N	NA	NA	NA	NA	NA	NA	3	2	15	NA	25	1	2	1	5	NA	NA	NA	11	4	0.625	22	NA	20	0	10	NA	1	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
135	225	west	E1_SIL	E1	SIL	4	3	12	N	NA	NA	NA	NA	NA	NA	6	2.1	22	6.85	17	0	0	0	2	NA	NA	NA	10.5	4.5	0.707	27	NA	5	0	10	NA	0	0	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	226	west	C1_SIL	C1	SIL	4	4	12	N	130	2	7	6.5	4	4	3	2.35	39	8.3	10	2	3	1	7	NA	NA	NA	9	6	0.637	13	NA	40	30	50	NA	5	2	2	5	NA	NA	NA	0	1	7	1.7	0.02	2	0	2	0	0	0	NA
137	227	west	C1_SIL	C1	SIL	4	4	12	N	NA	NA	NA	NA	NA	NA	5	2.15	31	8.05	18	5	2	5	6	NA	NA	NA	8.5	5.5	0.655	7	NA	30	0	50	NA	5	3	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138	228	west	C1_SIL	C1	SIL	4	4	12	N	NA	NA	NA	NA	NA	NA	7	2	NA	NA	13	10	2	55	4	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	na	na	na	na	NA	roastedbystemrust	roastedbystemrust	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	230	west	W1_SIL	W1	SIL	4	6	12	N	135	0	9	6.5	6	5	4	2.75	NA	NA	6	5	3	5	8	NA	22	4.65	11	4.5	0.814	1	NA	100	0	100	NA	1	2	5	5	NA	NA	NA	1	0	5	1.5	1	2	0	1	0	0	0.5	NA
140	231	west	W1_SIL	W1	SIL	4	6	12	N	NA	NA	NA	NA	NA	NA	7	2	NA	NA	6	5	2	5	7	NA	20	4.85	9	4	0.746	2	NA	100	50	80	NA	2	2	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	232	west	W1_SIL	W1	SIL	4	6	12	N	NA	NA	NA	NA	NA	NA	8	1.95	NA	NA	6	5	3	0.1	8	NA	18	6.85	11	3	0.751	5	NA	30	0	60	NA	1	2	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
142	233	west	E2_SIL	E2	SIL	4	7	12	N	115	0	9	4.5	6	6	1	1.8	NA	NA	16	5	3	20	1	NA	14	6.95	11	4.5	0.663	1	NA	5	0	30	NA	0.5	2	25	2	NA	NA	NA	6	0	10	2.3	0.05	2	0	0	0	0	0	NA
143	234	west	E2_SIL	E2	SIL	4	7	12	N	NA	NA	NA	NA	NA	NA	4	1.75	NA	NA	10	5	2	25	2	NA	13	5.45	12	4	0.711	3	NA	20	0	40	NA	2	2	20	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	235	west	E2_SIL	E2	SIL	4	7	12	N	NA	NA	NA	NA	NA	NA	9	1.35	20	NA	11	9	2	2	1	NA	16	7.9	11	8	0.714	25	NA	10	0	30	NA	2	3	1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	241	west	W1_SIL	W1	SIL	5	1	13	N	120	0	9	5.5	5	4	6	2.25	20	8.9	12	2	2	5	8	NA	NA	NA	7.5	3.5	0.827	7	NA	30	0	80	NA	2	3	10	2	NA	NA	NA	0	0	9	1.9	0.02	2	0	0	0	0	0.01	NA
146	242	west	W1_SIL	W1	SIL	5	1	13	N	NA	NA	NA	NA	NA	NA	7	2.24	31	8.75	13	5	2	15	0	NA	NA	NA	8	5.5	0.581	3	NA	40	10	50	NA	5	2	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147	243	west	W1_SIL	W1	SIL	5	1	13	N	NA	NA	NA	NA	NA	NA	8	2.2	NA	NA	9	5	3	25	8	NA	NA	6.05	NA	NA	0.84	4	NA	60	0	60	NA	2	1	35	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	244	west	C4_SIL	C4	SIL	5	2	13	N	130	1	8	4.3	6	5	3	2.05	22	6.75	17	2	2	15	1	NA	NA	NA	NA	NA	0.933	15	NA	5	5	50	NA	0.5	2	15	0	NA	mid.pointleavesalllost	mid.pointleavesalllost	3	0	10	2.1	0.1	2	0	0	0	0	0	NA
149	245	west	C4_SIL	C4	SIL	5	2	13	N	NA	NA	NA	NA	NA	NA	5	3.45	20	7.7	16	2	2	30	2	NA	NA	NA	NA	NA	0.851	7	NA	0	10	30	NA	1	2	35	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	246	west	C4_SIL	C4	SIL	5	2	13	N	NA	NA	NA	NA	NA	NA	8	2.3	NA	NA	11	1	2	10	1	NA	23	5.35	NA	NA	0.911	3	NA	5	0	50	NA	0.5	2	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	250	west	W3_SIL	W3	SIL	5	6	13	N	130	0	8	6	5	5	2	1.75	29	8.05	8	10	3	10	7	NA	NA	NA	10	3.5	0.71	5	NA	30	10	30	NA	2	2	2	10	NA	NA	NA	0	0	7	1.5	0.1	2	0	0	0	0	0	NA
152	251	west	W3_SIL	W3	SIL	5	6	13	N	NA	NA	NA	NA	NA	NA	3	2.55	27	6.15	12	2	2	1	8	NA	NA	NA	12	4	0.685	7	NA	20	5	40	NA	1	2	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
153	252	west	W3_SIL	W3	SIL	5	6	13	N	NA	NA	NA	NA	NA	NA	8	2.1	31	9.05	9	2	3	10	8	NA	NA	NA	9	3	0.614	5	NA	10	0	90	NA	0.5	2	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
154	255	west	C3_SIL	C3	SIL	5	9	13	N	145	0	9	4.5	8	7	7	2.35	NA	NA	16	0.1	2	10	3	NA	17	5.8	14	5.5	0.871	28	NA	5	0	20	NA	0.5	2	15	5	NA	NA	NA	7	0	10	2.5	0.1	2	0	0	0	0.2	0	NA
155	256	west	C3_SIL	C3	SIL	5	9	13	N	NA	NA	NA	NA	NA	NA	8	2.25	NA	NA	13	1	2	10	2	NA	14	4.15	10.5	4.5	0.576	3	NA	5	0	20	ama	0.5	2	20	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
156	257	west	C3_SIL	C3	SIL	5	9	13	N	NA	NA	NA	NA	NA	NA	9	2.6	18	7.25	8	0.05	2	5	5	NA	NA	NA	9.5	5	0.818	19	NA	10	0	5	NA	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
157	259	west	C2_SIL	C2	SIL	5	11	13	N	140	0	9	4.3	7	7	2	2.45	20	7.15	10	0.5	2	5	0	NA	NA	NA	12.5	8.5	0.808	23	NA	20	0	10	NA	0.1	5	2	0	NA	NA	NA	4	0	10	3.1	1	2	0	0	0	0	0	NA
158	260	west	C2_SIL	C2	SIL	5	11	13	N	NA	NA	NA	NA	NA	NA	4	2.35	NA	NA	10	5	3	35	1	NA	26	5.95	13	7	0.709	12	NA	5	0	5	NA	2	2	40	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
159	261	west	C2_SIL	C2	SIL	5	11	13	N	NA	NA	NA	NA	NA	NA	6	3.3	26	NA	2	1	2	50	0	NA	NA	6.8	12.5	7	0.94	31	NA	10	0	10	NA	0.5	2	5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	262	west	E4_SIL	E4	SIL	5	12	13	N	130	0	9	5	8	7	1	2.05	19	5.75	13	0	0	0.5	1	mostlye1	NA	NA	10	4	0.494	22	NA	5	0	5	NA	0	0	0.1	10	NA	NA	NA	3	0	7	2	0	0	0	0	0	1	0	NA
161	263	west	E4_SIL	E4	SIL	5	12	13	N	NA	NA	NA	NA	NA	NA	4	1.65	NA	NA	10	0	0	0	2	hypersensitiveresponsesnopustules	17	6.2	11.5	6	0.64	22	NA	5	0	5	NA	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
162	264	west	E4_SIL	E4	SIL	5	12	13	N	NA	NA	NA	NA	NA	NA	7	1.95	15	7.2	14	0	0	0	1	NA	NA	NA	9	4	0.752	35	NA	5	0	5	NA	0	0	0	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
163	265	west	W4_SIL	W4	SIL	5	12	14	S	135	0	9	5.7	6	6	5	1.3	NA	NA	2	2	2	0.5	5	NA	NA	NA	8	2.5	0.75	2	NA	0	0	75	NA	0.5	2	0.5	15	NA	NA	NA	1	0	7	1.8	0.01	2	0	0	0	0	0	NA
164	266	west	W4_SIL	W4	SIL	5	12	14	S	NA	NA	NA	NA	NA	NA	8	1.95	29	9.3	9	5	3	10	3	NA	NA	NA	10.5	4.5	0.702	6	NA	30	10	40	NA	5	3	5	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165	267	west	W4_SIL	W4	SIL	5	12	14	S	NA	NA	NA	NA	NA	NA	9	2.1	28	6.8	9	5	3	2	7	NA	NA	NA	7	5	0.555	4	NA	10	5	60	NA	5	2	2	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
166	269	west	C1_SIL	C1	SIL	5	10	14	S	110	2	7	6	3	4	1	1.4	NA	NA	17	25	2	40	4	NA	26	6.35	9.5	4	0.745	6	NA	0	0	75	NA	5	2	30	1	NA	NA	NA	0	2	9	1.9	0.5	2	0	0	0	0	0	NA
167	270	west	C1_SIL	C1	SIL	5	10	14	S	NA	NA	NA	NA	NA	NA	3	1.35	NA	NA	7	10	3	45	1	NA	NA	NA	8.5	4	1.01	0	NA	0	0	80	NA	2	2	30	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	271	west	C1_SIL	C1	SIL	5	10	14	S	NA	NA	NA	NA	NA	NA	7	1.7	25	6.2	5	20	3	20	4	NA	NA	NA	NA	NA	0.77	1	NA	100	0	70	NA	5	2	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
